"SYMBOL ","COMPANY ","PURPOSE ","DETAILS ","DATE "
"RANEHOLDIN","Rane Holdings Limited","Financial Results","RANEHOLDIN : 08-Feb-2024 :  The Company has informed the Exchange that a Board meeting to be held on February 12, 2024 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on February 08, 2024,  To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"REPCOHOME","Repco Home Finance Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"RGL","Renaissance Global Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"RHL","Robust Hotels Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"RISHABH","Rishabh Instruments Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"RMCL","Radha Madhav Corporation Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"RUCHIRA","Ruchira Papers Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"SABEVENTS","Sab Events & Governance Now Media Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"SAIL","Steel Authority of India Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended December 31, 2023 and interim dividend","12-Feb-2024"
"SAKHTISUG","Sakthi Sugars Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"SAMPANN","Sampann Utpadan India Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"SANSERA","Sansera Engineering Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"SEAMECLTD","Seamec Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"SELAN","Selan Exploration Technology Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"SHIVALIK","Shivalik Rasayan Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"SHREYANIND","Shreyans Industries Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"SINTERCOM","Sintercom India Limited","Financial Results/Other business matters","To consider and approve the Unaudited financial results for the period ended December 31, 2023 and other business matters","12-Feb-2024"
"SKIPPER","Skipper Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"SOFTTECH","Softtech Engineers Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"SOMATEX","Soma Textiles & Industries Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"SOMICONVEY","Somi Conveyor Beltings Limited","Financial Results","To consider and approve the Un-audited financial results for the period ended December 31, 2023","12-Feb-2024"
"SOTL","Savita Oil Technologies Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"SPAL","S. P. Apparels Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"SPCENET","Spacenet Enterprises India Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","12-Feb-2024"
"SPLIL","SPL Industries Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"SREEL","Sreeleathers Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"SUMIT","Sumit Woods Limited","Financial Results","To consider and approve the un audited financial results for the period ended December 31, 2023","12-Feb-2024"
"SUPERSPIN","Super Spinning Mills Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","12-Feb-2024"
