"SYMBOL ","COMPANY ","PURPOSE ","DETAILS ","DATE "
"SILINV","SIL Investments Limited","Financial Results","Intimation of Board meeting for considering Un-Audited Financial Results for the quarter and nine months ended 31st December, 2023","14-Feb-2024"
"SILVERTUC","Silver Touch Technologies Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"SOLARA","Solara Active Pharma Sciences Limited","Financial Results","To consider and approve the unaudited financial results for the period ended December 31, 2023","14-Feb-2024"
"SONAMLTD","SONAM LIMITED","Financial Results/Stock split/Other business matters","To consider and approve the financial results for the period ended December 31, 2023, stock split of equity shares and other business matters","14-Feb-2024"
"SOUTHWEST","South West Pinnacle Exploration Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"SOUTHWEST","South West Pinnacle Exploration Limited","Dividend","To consider and approve Interim dividend","14-Feb-2024"
"SPIC","Southern Petrochemicals Industries Corporation  Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"SPTL","Sintex Plastics Technology Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"SRPL","Shree Ram Proteins Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"STEELXIND","STEEL EXCHANGE INDIA LIMITED","Financial Results/Fund Raising/Other business matters","To consider and approve the financial results for the period ended December 31, 2023, Fund Raising and other business matters","14-Feb-2024"
"SUNTV","Sun TV Network Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended December 31, 2023 and dividend","14-Feb-2024"
"SUPERHOUSE","Superhouse Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"SUPRAJIT","Suprajit Engineering Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended December 31, 2023 and dividend","14-Feb-2024"
"SVPGLOB","SVP GLOBAL TEXTILES LIMITED","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"SYNCOMF","Syncom Formulations (India) Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"TARMAT","Tarmat Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"TFCILTD","Tourism Finance Corporation of India Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"THOMASCOTT","Thomas Scott (India) Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"TIL","TIL Limited","Financial Results","To consider and approve the unaudited financial results for the third quarter and nine months period ended on December 31, 2023","14-Feb-2024"
"TIL","TIL Limited","Fund Raising","To consider Fund Raising through issue of shares to the existing shareholders on Rights basis","14-Feb-2024"
"UCAL","UCAL LIMITED","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"UNIINFO","Uniinfo Telecom Services Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"UNITEDPOLY","United Polyfab Gujarat Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"USK","Udayshivakumar Infra Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"VASWANI","Vaswani Industries Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"VCL","Vaxtex Cotfab Limited","Financial Results","To consider and approve the unaudited financial results for the Quarter and Nine Months ended on 31st December, 2023 along with Limited Review Report.","14-Feb-2024"
"VENUSREM","Venus Remedies Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"VHL","Vardhman Holdings Limited","Financial Results","To consider and approve the Unaudited financial results for the period ended December 31, 2023","14-Feb-2024"
"VINNY","Vinny Overseas Limited","Financial Results","To consider and approve the unaudited standalone financial results for the period ended December 31, 2023","14-Feb-2024"
"VISASTEEL","Visa Steel Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"VISESHINFO","Visesh Infotecnics Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"VIVIMEDLAB","Vivimed Labs Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"VIVIMEDLAB","Vivimed Labs Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"WOCKPHARMA","Wockhardt Limited","Financial Results","Intimation of the Meeting of Board of Directors of Wockhardt Limited","14-Feb-2024"
"XELPMOC","Xelpmoc Design And Tech Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"YATRA","Yatra Online Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"YUKEN","Yuken India Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"ZEELEARN","Zee Learn Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"ZODIACLOTH","Zodiac Clothing Company Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"AEGISCHEM","Aegis Logistics Limited","Dividend","To consider and declare 2nd Interim Dividend, if any, during the financial year 2023-2024","15-Feb-2024"
"BALLARPUR","Ballarpur Industries Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2020 and other business matters","15-Feb-2024"
"CRISIL","CRISIL Limited","Financial Results/Dividend","To consider and approve the audited consolidated and standalone financial results for the quarter and year ended December 31, 2023, and recommend final dividend, if any, for the financial year ended December 31, 2023.","15-Feb-2024"
"EPACK","EPACK Durable Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","15-Feb-2024"
"RSYSTEMS","R Systems International Limited","Financial Results/Other business matters","To consider and approve the audited standalone and consolidated financial results of the Company for the quarter and financial year ended on December 31, 2023.","15-Feb-2024"
"SCHAEFFLER","Schaeffler India Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended December 31, 2023 and dividend","16-Feb-2024"
"CIEINDIA","CIE Automotive India Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended December 31, 2023 and dividend","19-Feb-2024"
"JWL","Jupiter Wagons Limited","Dividend","Pursuant to Regulation 29(1) and 29(2) of the Securities Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, as amended ( SEBI Listing Regulations ), this is to inform that the meeting of the Board of Directors of the Company is scheduled to be held on Monday, 19th February, 2024 via Video Conference, interalia, to consider and approve declaration of Interim Dividend for the Financial Year 2023-2024 and fixation of record date.","19-Feb-2024"
"ABB","ABB India Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended December 31, 2023, dividend and other business matters","20-Feb-2024"
"FOSECOIND","Foseco India Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended December 31, 2023 and dividend","23-Feb-2024"
"RAIN","Rain Industries Limited","Financial Results","To consider and approve the Annual Audited financial results for the Financial year ended December 31, 2023","23-Feb-2024"
"SANOFI","Sanofi India Limited","Financial Results/Dividend","To consider and approve the financial results (Standalone and Consolidated) for the Quarter and Financial Year ended December 31, 2023 and recommendation of dividend, if any.","23-Feb-2024"
"CANBK","Canara Bank","Stock Split","To consider stock split of equity shares","26-Feb-2024"
"EASTSUGIND","Eastern Sug & Inds Limited","Other business matters","To consider other business matters","27-Feb-2024"
"EASTSUGIND","Eastern Sug & Inds Limited","Other business matters","To consider other business matters","27-Feb-2024"
"REMSONSIND","Remsons Industries Limited","Stock Split","To consider stock split of equity shares","27-Feb-2024"
"BALAXI","BALAXI PHARMACEUTICALS LIMITED","Stock Split","To consider stock split of equity shares","28-Feb-2024"
