"SR. NO ","SYMBOL ","COMPANY NAME ","ISIN ","ASM STAGE "
"Long Term",,,,
220,"ZENTEC","Zen Technologies Limited","INE251B01027","LTASM - IV (16)"
"Short Term",,,,
1,"ABCOTS","A B Cotspin India Limited","INE08PH01015","STASM - II (12)"
2,"ADSL","Allied Digital Services Limited","INE102I01027","STASM - I (11)"
3,"AKANKSHA","Akanksha Power and Infrastructure Limited","INE0PCY01014","STASM - I (11)"
4,"APOLSINHOT","Apollo Sindoori Hotels Limited","INE451F01024","STASM - I (11)"
5,"APS","Australian Premium Solar (India) Limited","INE0P0001010","STASM - I (11)"
6,"ARIES","Aries Agro Limited","INE298I01015","STASM - I (11)"
7,"AUROIMPEX","Auro Impex  & Chemicals Limited","INE0NUL01018","STASM - I (11)"
8,"AZAD","Azad Engineering Limited","INE02IJ01035","STASM - I (11)"
9,"BFUTILITIE","BF Utilities Limited","INE243D01012","STASM - I (11)"
10,"CMNL","Chaman Metallics Limited","INE06PV01010","STASM - I (11)"
11,"CRAYONS","Crayons Advertising Limited","INE0OFK01019","STASM - I (11)"
12,"DHRUV","Dhruv Consultancy Services Limited","INE506Z01015","STASM - I (11)"
13,"DIGIKORE","Digikore Studios Limited","INE0QJ901011","STASM - I (11)"
14,"DOLATALGO","Dolat Algotech Limited","INE966A01022","STASM - I (11)"
15,"DVL","Dhunseri Ventures Limited","INE477B01010","STASM - I (11)"
16,"EFORCE","Electro Force (India) Limited","INE0Q1W01012","STASM - I (11)"
17,"EIHAHOTELS","EIH Associated Hotels Limited","INE276C01014","STASM - I (11)"
18,"EIHOTEL","EIH Limited","INE230A01023","STASM - I (11)"
19,"GANESHHOUC","Ganesh Housing Corporation Limited","INE460C01014","STASM - I (11)"
20,"GICL","Globe International Carriers Limited","INE947T01014","STASM - I (11)"
21,"GOACARBON","Goa Carbon Limited","INE426D01013","STASM - I (11)"
22,"GOYALSALT","Goyal Salt Limited","INE0QFE01017","STASM - I (11)"
23,"GSLSU","Global Surfaces Limited","INE0JSX01015","STASM - I (11)"
24,"IFBIND","IFB Industries Limited","INE559A01017","STASM - I (11)"
25,"IMFA","Indian Metals & Ferro Alloys Limited","INE919H01018","STASM - I (11)"
26,"IRB","IRB Infrastructure Developers Limited","INE821I01022","STASM - I (11)"
27,"JMA","Jullundur Motor Agency (Delhi) Limited","INE412C01023","STASM - I (11)"
28,"JYOTICNC","Jyoti CNC Automation Limited","INE980O01024","STASM - I (11)"
29,"KANDARP","Kandarp Digi Smart BPO Limited","INE0MOT01016","STASM - I (11)"
30,"KARNIKA","Karnika Industries Limited","INE0MGA01012","STASM - I (11)"
31,"KCEIL","Kay Cee Energy & Infra Limited","INE0RCG01017","STASM - I (11)"
32,"KDL","Kore Digital Limited","INE0O4R01018","STASM - II (12)"
33,"KECL","Kirloskar Electric Company Limited","INE134B01017","STASM - I (11)"
34,"LFIC","Lakshmi Finance & Industrial Corporation Limited","INE850E01012","STASM - I (11)"
35,"LIBAS","Libas Consumer Products Limited","INE908V01012","STASM - I (11)"
36,"LIBAS","Libas Designs Limited","INE908V01012","STASM - I (11)"
37,"LRRPL","Lead Reclaim And Rubber Products Limited","INE0H4B01011","STASM - I (11)"
38,"MAGNUM","Magnum Ventures Limited","INE387I01016","STASM - I (11)"
39,"MAITREYA","Maitreya Medicare Limited","INE0PLQ01011","STASM - I (11)"
40,"MANAV","Manav Infra Projects Limited","INE104Y01012","STASM - I (11)"
41,"MILTON","Milton Industries Limited","INE376Y01016","STASM - I (11)"
42,"MODISONLTD","MODISON LIMITED","INE737D01021","STASM - I (11)"
43,"MONOPHARMA","Mono Pharmacare Limited","INE0OIP01012","STASM - I (11)"
44,"MOS","Mos Utility Limited","INE0N7S01010","STASM - I (11)"
45,"NPST","Network People Services Technologies Limited","INE0FFK01017","STASM - I (11)"
46,"OFSS","Oracle Financial Services Software Limited","INE881D01027","STASM - I (11)"
47,"PAISALO","Paisalo Digital Limited","INE420C01059","STASM - I (11)"
48,"PAYTM","One 97 Communications Limited","INE982J01020","STASM - I (11)"
49,"PDMJEPAPER","Pudumjee Paper Products Limited","INE865T01018","STASM - I (11)"
50,"PRESSTONIC","Presstonic Engineering Limited","INE0R1601012","STASM - I (11)"
51,"PROLIFE","Prolife Industries Limited","INE994V01012","STASM - I (11)"
52,"PULZ","Pulz Electronics Limited","INE335X01014","STASM - I (11)"
53,"QFIL","Quality Foils (India) Limited","INE0O1M01015","STASM - I (11)"
54,"QMSMEDI","QMS Medical Allied Services Limited","INE0FMW01018","STASM - I (11)"
55,"RAJSREESUG","Rajshree Sugars & Chemicals Limited","INE562B01019","STASM - I (11)"
56,"RSSOFTWARE","R. S. Software (India) Limited","INE165B01029","STASM - I (11)"
57,"SAKHTISUG","Sakthi Sugars Limited","INE623A01011","STASM - I (11)"
58,"SANGHVIMOV","Sanghvi Movers Limited","INE989A01024","STASM - I (11)"
59,"SBC","SBC Exports Limited","INE04AK01028","STASM - I (11)"
60,"SHEMAROO","Shemaroo Entertainment Limited","INE363M01019","STASM - I (11)"
61,"SJLOGISTIC","S J Logistics (India) Limited","INE0F3301020","STASM - I (11)"
62,"SMCGLOBAL","SMC Global Securities Limited","INE103C01036","STASM - I (11)"
63,"SMLT","Sarthak Metals Limited","INE017W01010","STASM - I (11)"
64,"SOUTHBANK","The South Indian Bank Limited","INE683A01023","STASM - I (11)"
65,"SSFL","Srivari Spices And Foods Limited","INE0ON201012","STASM - I (11)"
66,"SUPREMEPWR","Supreme Power Equipment Limited","INE0QHG01026","STASM - I (11)"
67,"SWELECTES","Swelect Energy Systems Limited","INE409B01013","STASM - I (11)"
68,"TECHLABS","Trident Techlabs Limited","INE0QD201012","STASM - I (11)"
69,"TIDEWATER","Tide Water Oil Company (India) Limited","INE484C01030","STASM - I (11)"
70,"TRF","TRF Limited","INE391D01019","STASM - I (11)"
71,"VAKRANGEE","Vakrangee Limited","INE051B01021","STASM - I (11)"
72,"VISAKAIND","Visaka Industries Limited","INE392A01021","STASM - I (11)"
73,"WSI","W S Industries (I) Limited","INE100D01014","STASM - I (11)"
74,"YCCL","Yasons Chemex Care Limited","INE08S201019","STASM - I (11)"
75,"ZEAL","Zeal Global Services Limited","INE0PPS01018","STASM - I (11)"
76,"ZUARIIND","ZUARI INDUSTRIES LIMITED","INE217A01012","STASM - I (11)"
